batsman,runs,balls,minutes,fours,sixes,strike_rate,inning,series
Nathan Lyon ,20,27,50,3,0,74.07,Australia 1st Innings,"New Zealand vs Australia, 2nd Test at Christchurch, Mar 08 2024, Australia tour of New Zealand"
Mitchell Marsh ,0,4,12,0,0,0.00,Australia 1st Innings,"New Zealand vs Australia, 2nd Test at Christchurch, Mar 08 2024, Australia tour of New Zealand"
Alex Carey †,14,24,35,2,0,58.33,Australia 1st Innings,"New Zealand vs Australia, 2nd Test at Christchurch, Mar 08 2024, Australia tour of New Zealand"
Mitchell Starc ,28,54,61,3,0,51.85,Australia 1st Innings,"New Zealand vs Australia, 2nd Test at Christchurch, Mar 08 2024, Australia tour of New Zealand"
Pat Cummins (c),23,22,35,4,1,104.54,Australia 1st Innings,"New Zealand vs Australia, 2nd Test at Christchurch, Mar 08 2024, Australia tour of New Zealand"
Josh Hazlewood ,1,3,12,0,0,33.33,Australia 1st Innings,"New Zealand vs Australia, 2nd Test at Christchurch, Mar 08 2024, Australia tour of New Zealand"
Tom Latham ,73,168,252,8,0,43.45,New Zealand 2nd Innings,"New Zealand vs Australia, 2nd Test at Christchurch, Mar 08 2024, Australia tour of New Zealand"
Will Young ,1,5,11,0,0,20.00,New Zealand 2nd Innings,"New Zealand vs Australia, 2nd Test at Christchurch, Mar 08 2024, Australia tour of New Zealand"
Kane Williamson ,51,107,160,6,0,47.66,New Zealand 2nd Innings,"New Zealand vs Australia, 2nd Test at Christchurch, Mar 08 2024, Australia tour of New Zealand"
Rachin Ravindra ,82,153,230,10,0,53.59,New Zealand 2nd Innings,"New Zealand vs Australia, 2nd Test at Christchurch, Mar 08 2024, Australia tour of New Zealand"
Daryl Mitchell ,58,98,137,6,1,59.18,New Zealand 2nd Innings,"New Zealand vs Australia, 2nd Test at Christchurch, Mar 08 2024, Australia tour of New Zealand"
Tom Blundell †,9,11,30,1,0,81.81,New Zealand 2nd Innings,"New Zealand vs Australia, 2nd Test at Christchurch, Mar 08 2024, Australia tour of New Zealand"
Glenn Phillips ,16,46,73,2,0,34.78,New Zealand 2nd Innings,"New Zealand vs Australia, 2nd Test at Christchurch, Mar 08 2024, Australia tour of New Zealand"
Scott Kuggeleijn ,44,49,75,5,2,89.79,New Zealand 2nd Innings,"New Zealand vs Australia, 2nd Test at Christchurch, Mar 08 2024, Australia tour of New Zealand"
Matt Henry ,16,11,10,4,0,145.45,New Zealand 2nd Innings,"New Zealand vs Australia, 2nd Test at Christchurch, Mar 08 2024, Australia tour of New Zealand"
Tim Southee (c),0,3,3,0,0,0.00,New Zealand 2nd Innings,"New Zealand vs Australia, 2nd Test at Christchurch, Mar 08 2024, Australia tour of New Zealand"
Ben Sears ,0,4,5,0,0,0.00,New Zealand 2nd Innings,"New Zealand vs Australia, 2nd Test at Christchurch, Mar 08 2024, Australia tour of New Zealand"
Steven Smith ,9,25,30,1,0,36.00,Australia 2nd Innings,"New Zealand vs Australia, 2nd Test at Christchurch, Mar 08 2024, Australia tour of New Zealand"
Usman Khawaja ,11,24,52,1,0,45.83,Australia 2nd Innings,"New Zealand vs Australia, 2nd Test at Christchurch, Mar 08 2024, Australia tour of New Zealand"
Marnus Labuschagne ,6,8,8,1,0,75.00,Australia 2nd Innings,"New Zealand vs Australia, 2nd Test at Christchurch, Mar 08 2024, Australia tour of New Zealand"
Cameron Green ,5,21,31,0,0,23.80,Australia 2nd Innings,"New Zealand vs Australia, 2nd Test at Christchurch, Mar 08 2024, Australia tour of New Zealand"
Travis Head ,18,43,68,2,0,41.86,Australia 2nd Innings,"New Zealand vs Australia, 2nd Test at Christchurch, Mar 08 2024, Australia tour of New Zealand"
Mitchell Marsh ,80,102,188,10,1,78.43,Australia 2nd Innings,"New Zealand vs Australia, 2nd Test at Christchurch, Mar 08 2024, Australia tour of New Zealand"
Alex Carey †,98,123,192,15,0,79.67,Australia 2nd Innings,"New Zealand vs Australia, 2nd Test at Christchurch, Mar 08 2024, Australia tour of New Zealand"
Mitchell Starc ,0,1,1,0,0,0.00,Australia 2nd Innings,"New Zealand vs Australia, 2nd Test at Christchurch, Mar 08 2024, Australia tour of New Zealand"
Pat Cummins (c),32,44,52,4,0,72.72,Australia 2nd Innings,"New Zealand vs Australia, 2nd Test at Christchurch, Mar 08 2024, Australia tour of New Zealand"
Zak Crawley ,79,108,165,11,1,73.14,England 1st Innings,"India vs England, 5th Test at Dharamsala, Mar 07 2024, England tour of India"
Ben Duckett ,27,58,88,4,0,46.55,England 1st Innings,"India vs England, 5th Test at Dharamsala, Mar 07 2024, England tour of India"
Ollie Pope ,11,24,29,0,0,45.83,England 1st Innings,"India vs England, 5th Test at Dharamsala, Mar 07 2024, England tour of India"
Joe Root ,26,56,82,4,0,46.42,England 1st Innings,"India vs England, 5th Test at Dharamsala, Mar 07 2024, England tour of India"
Jonny Bairstow ,29,18,28,2,2,161.11,England 1st Innings,"India vs England, 5th Test at Dharamsala, Mar 07 2024, England tour of India"
Ben Stokes (c),0,6,12,0,0,0.00,England 1st Innings,"India vs England, 5th Test at Dharamsala, Mar 07 2024, England tour of India"
Ben Foakes †,24,42,51,3,0,57.14,England 1st Innings,"India vs England, 5th Test at Dharamsala, Mar 07 2024, England tour of India"
Tom Hartley ,6,9,12,1,0,66.66,England 1st Innings,"India vs England, 5th Test at Dharamsala, Mar 07 2024, England tour of India"
Mark Wood ,0,2,2,0,0,0.00,England 1st Innings,"India vs England, 5th Test at Dharamsala, Mar 07 2024, England tour of India"
Shoaib Bashir ,11,22,31,2,0,50.00,England 1st Innings,"India vs England, 5th Test at Dharamsala, Mar 07 2024, England tour of India"
James Anderson ,0,3,2,0,0,0.00,England 1st Innings,"India vs England, 5th Test at Dharamsala, Mar 07 2024, England tour of India"
Yashasvi Jaiswal ,57,58,88,5,3,98.27,India 1st Innings,"India vs England, 5th Test at Dharamsala, Mar 07 2024, England tour of India"
Rohit Sharma (c),103,162,250,13,3,63.58,India 1st Innings,"India vs England, 5th Test at Dharamsala, Mar 07 2024, England tour of India"
Shubman Gill ,110,150,168,12,5,73.33,India 1st Innings,"India vs England, 5th Test at Dharamsala, Mar 07 2024, England tour of India"
Devdutt Padikkal ,65,103,143,10,1,63.10,India 1st Innings,"India vs England, 5th Test at Dharamsala, Mar 07 2024, England tour of India"
Sarfaraz Khan ,56,60,107,8,1,93.33,India 1st Innings,"India vs England, 5th Test at Dharamsala, Mar 07 2024, England tour of India"
Ravindra Jadeja ,15,50,64,0,0,30.00,India 1st Innings,"India vs England, 5th Test at Dharamsala, Mar 07 2024, England tour of India"
Dhruv Jurel †,15,24,30,2,0,62.50,India 1st Innings,"India vs England, 5th Test at Dharamsala, Mar 07 2024, England tour of India"
Ravichandran Ashwin ,0,5,10,0,0,0.00,India 1st Innings,"India vs England, 5th Test at Dharamsala, Mar 07 2024, England tour of India"
Kuldeep Yadav ,30,69,83,2,0,43.47,India 1st Innings,"India vs England, 5th Test at Dharamsala, Mar 07 2024, England tour of India"
Jasprit Bumrah ,20,64,82,2,0,31.25,India 1st Innings,"India vs England, 5th Test at Dharamsala, Mar 07 2024, England tour of India"
Mohammed Siraj ,0,2,4,0,0,0.00,India 1st Innings,"India vs England, 5th Test at Dharamsala, Mar 07 2024, England tour of India"
Zak Crawley ,0,16,25,0,0,0.00,England 2nd Innings,"India vs England, 5th Test at Dharamsala, Mar 07 2024, England tour of India"
Ben Duckett ,2,5,10,0,0,40.00,England 2nd Innings,"India vs England, 5th Test at Dharamsala, Mar 07 2024, England tour of India"
Ollie Pope ,19,23,31,3,0,82.60,England 2nd Innings,"India vs England, 5th Test at Dharamsala, Mar 07 2024, England tour of India"
Joe Root ,84,128,175,12,0,65.62,England 2nd Innings,"India vs England, 5th Test at Dharamsala, Mar 07 2024, England tour of India"
Jonny Bairstow ,39,31,31,3,3,125.80,England 2nd Innings,"India vs England, 5th Test at Dharamsala, Mar 07 2024, England tour of India"
Ben Stokes (c),2,10,17,0,0,20.00,England 2nd Innings,"India vs England, 5th Test at Dharamsala, Mar 07 2024, England tour of India"
Ben Foakes †,8,17,14,0,0,47.05,England 2nd Innings,"India vs England, 5th Test at Dharamsala, Mar 07 2024, England tour of India"
Tom Hartley ,20,24,29,4,0,83.33,England 2nd Innings,"India vs England, 5th Test at Dharamsala, Mar 07 2024, England tour of India"
Mark Wood ,0,2,3,0,0,0.00,England 2nd Innings,"India vs England, 5th Test at Dharamsala, Mar 07 2024, England tour of India"
Shoaib Bashir ,13,29,50,3,0,44.82,England 2nd Innings,"India vs England, 5th Test at Dharamsala, Mar 07 2024, England tour of India"
James Anderson ,0,5,9,0,0,0.00,England 2nd Innings,"India vs England, 5th Test at Dharamsala, Mar 07 2024, England tour of India"
Steven Smith ,31,71,106,4,0,43.66,Australia 1st Innings,"New Zealand vs Australia, 1st Test at Wellington, Feb 29 2024, Australia tour of New Zealand"
Usman Khawaja ,33,118,181,3,1,27.96,Australia 1st Innings,"New Zealand vs Australia, 1st Test at Wellington, Feb 29 2024, Australia tour of New Zealand"
Marnus Labuschagne ,1,27,31,0,0,3.70,Australia 1st Innings,"New Zealand vs Australia, 1st Test at Wellington, Feb 29 2024, Australia tour of New Zealand"
Cameron Green ,174,275,396,23,5,63.27,Australia 1st Innings,"New Zealand vs Australia, 1st Test at Wellington, Feb 29 2024, Australia tour of New Zealand"
Travis Head ,1,6,8,0,0,16.66,Australia 1st Innings,"New Zealand vs Australia, 1st Test at Wellington, Feb 29 2024, Australia tour of New Zealand"
Mitchell Marsh ,40,39,59,6,1,102.56,Australia 1st Innings,"New Zealand vs Australia, 1st Test at Wellington, Feb 29 2024, Australia tour of New Zealand"
Alex Carey †,10,20,35,0,0,50.00,Australia 1st Innings,"New Zealand vs Australia, 1st Test at Wellington, Feb 29 2024, Australia tour of New Zealand"
Mitchell Starc ,9,33,47,1,0,27.27,Australia 1st Innings,"New Zealand vs Australia, 1st Test at Wellington, Feb 29 2024, Australia tour of New Zealand"
Pat Cummins (c),16,24,30,0,2,66.66,Australia 1st Innings,"New Zealand vs Australia, 1st Test at Wellington, Feb 29 2024, Australia tour of New Zealand"
Nathan Lyon ,5,19,24,1,0,26.31,Australia 1st Innings,"New Zealand vs Australia, 1st Test at Wellington, Feb 29 2024, Australia tour of New Zealand"
Josh Hazlewood ,22,62,148,4,0,35.48,Australia 1st Innings,"New Zealand vs Australia, 1st Test at Wellington, Feb 29 2024, Australia tour of New Zealand"
Tom Latham ,5,13,20,1,0,38.46,New Zealand 1st Innings,"New Zealand vs Australia, 1st Test at Wellington, Feb 29 2024, Australia tour of New Zealand"
Will Young ,9,50,84,1,0,18.00,New Zealand 1st Innings,"New Zealand vs Australia, 1st Test at Wellington, Feb 29 2024, Australia tour of New Zealand"
Kane Williamson ,0,2,3,0,0,0.00,New Zealand 1st Innings,"New Zealand vs Australia, 1st Test at Wellington, Feb 29 2024, Australia tour of New Zealand"
Rachin Ravindra ,0,3,3,0,0,0.00,New Zealand 1st Innings,"New Zealand vs Australia, 1st Test at Wellington, Feb 29 2024, Australia tour of New Zealand"
Daryl Mitchell ,11,37,54,1,0,29.72,New Zealand 1st Innings,"New Zealand vs Australia, 1st Test at Wellington, Feb 29 2024, Australia tour of New Zealand"
Tom Blundell †,33,43,69,3,0,76.74,New Zealand 1st Innings,"New Zealand vs Australia, 1st Test at Wellington, Feb 29 2024, Australia tour of New Zealand"
Glenn Phillips ,71,70,109,13,0,101.42,New Zealand 1st Innings,"New Zealand vs Australia, 1st Test at Wellington, Feb 29 2024, Australia tour of New Zealand"
Scott Kuggeleijn ,0,2,2,0,0,0.00,New Zealand 1st Innings,"New Zealand vs Australia, 1st Test at Wellington, Feb 29 2024, Australia tour of New Zealand"
Matt Henry ,42,34,53,3,4,123.52,New Zealand 1st Innings,"New Zealand vs Australia, 1st Test at Wellington, Feb 29 2024, Australia tour of New Zealand"
Tim Southee (c),1,5,5,0,0,20.00,New Zealand 1st Innings,"New Zealand vs Australia, 1st Test at Wellington, Feb 29 2024, Australia tour of New Zealand"
William O’Rourke ,0,2,8,0,0,0.00,New Zealand 1st Innings,"New Zealand vs Australia, 1st Test at Wellington, Feb 29 2024, Australia tour of New Zealand"
Steven Smith ,0,3,1,0,0,0.00,Australia 2nd Innings,"New Zealand vs Australia, 1st Test at Wellington, Feb 29 2024, Australia tour of New Zealand"
Usman Khawaja ,28,69,123,1,0,40.57,Australia 2nd Innings,"New Zealand vs Australia, 1st Test at Wellington, Feb 29 2024, Australia tour of New Zealand"
Marnus Labuschagne ,2,13,16,0,0,15.38,Australia 2nd Innings,"New Zealand vs Australia, 1st Test at Wellington, Feb 29 2024, Australia tour of New Zealand"
Nathan Lyon ,41,46,51,6,0,89.13,Australia 2nd Innings,"New Zealand vs Australia, 1st Test at Wellington, Feb 29 2024, Australia tour of New Zealand"
Cameron Green ,34,80,135,3,1,42.50,Australia 2nd Innings,"New Zealand vs Australia, 1st Test at Wellington, Feb 29 2024, Australia tour of New Zealand"
Travis Head ,29,36,49,4,0,80.55,Australia 2nd Innings,"New Zealand vs Australia, 1st Test at Wellington, Feb 29 2024, Australia tour of New Zealand"
Mitchell Marsh ,0,1,1,0,0,0.00,Australia 2nd Innings,"New Zealand vs Australia, 1st Test at Wellington, Feb 29 2024, Australia tour of New Zealand"
Alex Carey †,3,9,18,0,0,33.33,Australia 2nd Innings,"New Zealand vs Australia, 1st Test at Wellington, Feb 29 2024, Australia tour of New Zealand"
Mitchell Starc ,12,27,42,2,0,44.44,Australia 2nd Innings,"New Zealand vs Australia, 1st Test at Wellington, Feb 29 2024, Australia tour of New Zealand"
Pat Cummins (c),8,15,15,1,0,53.33,Australia 2nd Innings,"New Zealand vs Australia, 1st Test at Wellington, Feb 29 2024, Australia tour of New Zealand"
Josh Hazlewood ,1,8,14,0,0,12.50,Australia 2nd Innings,"New Zealand vs Australia, 1st Test at Wellington, Feb 29 2024, Australia tour of New Zealand"
Tom Latham ,8,18,24,1,0,44.44,New Zealand 2nd Innings,"New Zealand vs Australia, 1st Test at Wellington, Feb 29 2024, Australia tour of New Zealand"
Will Young ,15,52,95,2,0,28.84,New Zealand 2nd Innings,"New Zealand vs Australia, 1st Test at Wellington, Feb 29 2024, Australia tour of New Zealand"
Kane Williamson ,9,19,30,2,0,47.36,New Zealand 2nd Innings,"New Zealand vs Australia, 1st Test at Wellington, Feb 29 2024, Australia tour of New Zealand"
Rachin Ravindra ,59,105,160,8,1,56.19,New Zealand 2nd Innings,"New Zealand vs Australia, 1st Test at Wellington, Feb 29 2024, Australia tour of New Zealand"
Daryl Mitchell ,38,130,207,2,0,29.23,New Zealand 2nd Innings,"New Zealand vs Australia, 1st Test at Wellington, Feb 29 2024, Australia tour of New Zealand"
Tom Blundell †,0,3,3,0,0,0.00,New Zealand 2nd Innings,"New Zealand vs Australia, 1st Test at Wellington, Feb 29 2024, Australia tour of New Zealand"
Glenn Phillips ,1,7,9,0,0,14.28,New Zealand 2nd Innings,"New Zealand vs Australia, 1st Test at Wellington, Feb 29 2024, Australia tour of New Zealand"
Scott Kuggeleijn ,26,28,33,4,0,92.85,New Zealand 2nd Innings,"New Zealand vs Australia, 1st Test at Wellington, Feb 29 2024, Australia tour of New Zealand"
Matt Henry ,14,15,20,2,1,93.33,New Zealand 2nd Innings,"New Zealand vs Australia, 1st Test at Wellington, Feb 29 2024, Australia tour of New Zealand"
Tim Southee (c),7,7,6,0,1,100.00,New Zealand 2nd Innings,"New Zealand vs Australia, 1st Test at Wellington, Feb 29 2024, Australia tour of New Zealand"
William O’Rourke ,0,5,14,0,0,0.00,New Zealand 2nd Innings,"New Zealand vs Australia, 1st Test at Wellington, Feb 29 2024, Australia tour of New Zealand"
Zak Crawley ,42,42,62,6,1,100.00,England 1st Innings,"India vs England, 4th Test at Ranchi, Feb 23 2024, England tour of India"
Ben Duckett ,11,21,46,1,0,52.38,England 1st Innings,"India vs England, 4th Test at Ranchi, Feb 23 2024, England tour of India"
Ollie Pope ,0,2,2,0,0,0.00,England 1st Innings,"India vs England, 4th Test at Ranchi, Feb 23 2024, England tour of India"
Joe Root ,122,274,362,10,0,44.52,England 1st Innings,"India vs England, 4th Test at Ranchi, Feb 23 2024, England tour of India"
Jonny Bairstow ,38,35,39,4,1,108.57,England 1st Innings,"India vs England, 4th Test at Ranchi, Feb 23 2024, England tour of India"
Ben Stokes (c),3,6,10,0,0,50.00,England 1st Innings,"India vs England, 4th Test at Ranchi, Feb 23 2024, England tour of India"
Ben Foakes †,47,126,137,4,1,37.30,England 1st Innings,"India vs England, 4th Test at Ranchi, Feb 23 2024, England tour of India"
Tom Hartley ,13,26,32,1,1,50.00,England 1st Innings,"India vs England, 4th Test at Ranchi, Feb 23 2024, England tour of India"
Ollie Robinson ,58,96,108,9,1,60.41,England 1st Innings,"India vs England, 4th Test at Ranchi, Feb 23 2024, England tour of India"
Shoaib Bashir ,0,2,2,0,0,0.00,England 1st Innings,"India vs England, 4th Test at Ranchi, Feb 23 2024, England tour of India"
James Anderson ,0,4,7,0,0,0.00,England 1st Innings,"India vs England, 4th Test at Ranchi, Feb 23 2024, England tour of India"
Yashasvi Jaiswal ,73,117,190,8,1,62.39,India 1st Innings,"India vs England, 4th Test at Ranchi, Feb 23 2024, England tour of India"
Rohit Sharma (c),2,9,11,0,0,22.22,India 1st Innings,"India vs England, 4th Test at Ranchi, Feb 23 2024, England tour of India"
Shubman Gill ,38,65,91,6,0,58.46,India 1st Innings,"India vs England, 4th Test at Ranchi, Feb 23 2024, England tour of India"
Rajat Patidar ,17,42,39,4,0,40.47,India 1st Innings,"India vs England, 4th Test at Ranchi, Feb 23 2024, England tour of India"
Ravindra Jadeja ,12,12,10,0,2,100.00,India 1st Innings,"India vs England, 4th Test at Ranchi, Feb 23 2024, England tour of India"
Sarfaraz Khan ,14,53,51,1,0,26.41,India 1st Innings,"India vs England, 4th Test at Ranchi, Feb 23 2024, England tour of India"
Dhruv Jurel †,90,149,211,6,4,60.40,India 1st Innings,"India vs England, 4th Test at Ranchi, Feb 23 2024, England tour of India"
Ravichandran Ashwin ,1,13,14,0,0,7.69,India 1st Innings,"India vs England, 4th Test at Ranchi, Feb 23 2024, England tour of India"
Kuldeep Yadav ,28,131,117,2,0,21.37,India 1st Innings,"India vs England, 4th Test at Ranchi, Feb 23 2024, England tour of India"
Akash Deep ,9,29,49,0,1,31.03,India 1st Innings,"India vs England, 4th Test at Ranchi, Feb 23 2024, England tour of India"
Mohammed Siraj ,0,6,7,0,0,0.00,India 1st Innings,"India vs England, 4th Test at Ranchi, Feb 23 2024, England tour of India"
Zak Crawley ,60,91,93,7,0,65.93,England 2nd Innings,"India vs England, 4th Test at Ranchi, Feb 23 2024, England tour of India"
Ben Duckett ,15,15,13,2,0,100.00,England 2nd Innings,"India vs England, 4th Test at Ranchi, Feb 23 2024, England tour of India"
Ollie Pope ,0,1,1,0,0,0.00,England 2nd Innings,"India vs England, 4th Test at Ranchi, Feb 23 2024, England tour of India"
Joe Root ,11,34,36,0,0,32.35,England 2nd Innings,"India vs England, 4th Test at Ranchi, Feb 23 2024, England tour of India"
Jonny Bairstow ,30,42,61,3,0,71.42,England 2nd Innings,"India vs England, 4th Test at Ranchi, Feb 23 2024, England tour of India"
Ben Stokes (c),4,13,17,0,0,30.76,England 2nd Innings,"India vs England, 4th Test at Ranchi, Feb 23 2024, England tour of India"
Ben Foakes †,17,76,80,0,0,22.36,England 2nd Innings,"India vs England, 4th Test at Ranchi, Feb 23 2024, England tour of India"
Tom Hartley ,7,25,21,0,1,28.00,England 2nd Innings,"India vs England, 4th Test at Ranchi, Feb 23 2024, England tour of India"
Ollie Robinson ,0,3,4,0,0,0.00,England 2nd Innings,"India vs England, 4th Test at Ranchi, Feb 23 2024, England tour of India"
Shoaib Bashir ,1,20,52,0,0,5.00,England 2nd Innings,"India vs England, 4th Test at Ranchi, Feb 23 2024, England tour of India"
James Anderson ,0,3,1,0,0,0.00,England 2nd Innings,"India vs England, 4th Test at Ranchi, Feb 23 2024, England tour of India"
Rohit Sharma (c),55,81,99,5,1,67.90,India 2nd Innings,"India vs England, 4th Test at Ranchi, Feb 23 2024, England tour of India"
Yashasvi Jaiswal ,37,44,67,5,0,84.09,India 2nd Innings,"India vs England, 4th Test at Ranchi, Feb 23 2024, England tour of India"
Shubman Gill ,52,124,159,0,2,41.93,India 2nd Innings,"India vs England, 4th Test at Ranchi, Feb 23 2024, England tour of India"
Rajat Patidar ,0,6,4,0,0,0.00,India 2nd Innings,"India vs England, 4th Test at Ranchi, Feb 23 2024, England tour of India"
Ravindra Jadeja ,4,33,44,0,0,12.12,India 2nd Innings,"India vs England, 4th Test at Ranchi, Feb 23 2024, England tour of India"
Sarfaraz Khan ,0,1,1,0,0,0.00,India 2nd Innings,"India vs England, 4th Test at Ranchi, Feb 23 2024, England tour of India"
Dhruv Jurel †,39,77,75,2,0,50.64,India 2nd Innings,"India vs England, 4th Test at Ranchi, Feb 23 2024, England tour of India"
Yashasvi Jaiswal ,10,10,18,2,0,100.00,India 1st Innings,"India vs England, 3rd Test at Rajkot, Feb 15 2024, England tour of India"
Rohit Sharma (c),131,196,292,14,3,66.83,India 1st Innings,"India vs England, 3rd Test at Rajkot, Feb 15 2024, England tour of India"
Shubman Gill ,0,9,9,0,0,0.00,India 1st Innings,"India vs England, 3rd Test at Rajkot, Feb 15 2024, England tour of India"
Rajat Patidar ,5,15,15,1,0,33.33,India 1st Innings,"India vs England, 3rd Test at Rajkot, Feb 15 2024, England tour of India"
Ravindra Jadeja ,112,225,367,9,2,49.77,India 1st Innings,"India vs England, 3rd Test at Rajkot, Feb 15 2024, England tour of India"
Sarfaraz Khan ,62,66,80,9,1,93.93,India 1st Innings,"India vs England, 3rd Test at Rajkot, Feb 15 2024, England tour of India"
Kuldeep Yadav ,4,24,32,0,0,16.66,India 1st Innings,"India vs England, 3rd Test at Rajkot, Feb 15 2024, England tour of India"
Dhruv Jurel †,46,104,149,2,3,44.23,India 1st Innings,"India vs England, 3rd Test at Rajkot, Feb 15 2024, England tour of India"
Ravichandran Ashwin ,37,89,130,6,0,41.57,India 1st Innings,"India vs England, 3rd Test at Rajkot, Feb 15 2024, England tour of India"
Jasprit Bumrah ,26,28,52,3,1,92.85,India 1st Innings,"India vs England, 3rd Test at Rajkot, Feb 15 2024, England tour of India"
Mohammed Siraj ,3,21,39,0,0,14.28,India 1st Innings,"India vs England, 3rd Test at Rajkot, Feb 15 2024, England tour of India"
Zak Crawley ,15,28,58,2,0,53.57,England 1st Innings,"India vs England, 3rd Test at Rajkot, Feb 15 2024, England tour of India"
Ben Duckett ,153,151,251,23,2,101.32,England 1st Innings,"India vs England, 3rd Test at Rajkot, Feb 15 2024, England tour of India"
Ollie Pope ,39,55,88,5,1,70.90,England 1st Innings,"India vs England, 3rd Test at Rajkot, Feb 15 2024, England tour of India"
Joe Root ,18,31,50,2,0,58.06,England 1st Innings,"India vs England, 3rd Test at Rajkot, Feb 15 2024, England tour of India"
Jonny Bairstow ,0,4,6,0,0,0.00,England 1st Innings,"India vs England, 3rd Test at Rajkot, Feb 15 2024, England tour of India"
Ben Stokes (c),41,89,106,6,0,46.06,England 1st Innings,"India vs England, 3rd Test at Rajkot, Feb 15 2024, England tour of India"
Ben Foakes †,13,37,62,2,0,35.13,England 1st Innings,"India vs England, 3rd Test at Rajkot, Feb 15 2024, England tour of India"
Rehan Ahmed ,6,13,19,1,0,46.15,England 1st Innings,"India vs England, 3rd Test at Rajkot, Feb 15 2024, England tour of India"
Tom Hartley ,9,17,19,2,0,52.94,England 1st Innings,"India vs England, 3rd Test at Rajkot, Feb 15 2024, England tour of India"
Mark Wood ,4,3,8,1,0,133.33,England 1st Innings,"India vs England, 3rd Test at Rajkot, Feb 15 2024, England tour of India"
James Anderson ,1,3,6,0,0,33.33,England 1st Innings,"India vs England, 3rd Test at Rajkot, Feb 15 2024, England tour of India"
Yashasvi Jaiswal ,214,236,324,14,12,90.67,India 2nd Innings,"India vs England, 3rd Test at Rajkot, Feb 15 2024, England tour of India"
Rohit Sharma (c),19,28,48,3,0,67.85,India 2nd Innings,"India vs England, 3rd Test at Rajkot, Feb 15 2024, England tour of India"
Shubman Gill ,91,151,226,9,2,60.26,India 2nd Innings,"India vs England, 3rd Test at Rajkot, Feb 15 2024, England tour of India"
Rajat Patidar ,0,10,11,0,0,0.00,India 2nd Innings,"India vs England, 3rd Test at Rajkot, Feb 15 2024, England tour of India"
Kuldeep Yadav ,27,91,96,3,1,29.67,India 2nd Innings,"India vs England, 3rd Test at Rajkot, Feb 15 2024, England tour of India"
Sarfaraz Khan ,68,72,106,6,3,94.44,India 2nd Innings,"India vs England, 3rd Test at Rajkot, Feb 15 2024, England tour of India"
Zak Crawley ,11,26,42,2,0,42.30,England 2nd Innings,"India vs England, 3rd Test at Rajkot, Feb 15 2024, England tour of India"
Ben Duckett ,4,15,41,0,0,26.66,England 2nd Innings,"India vs England, 3rd Test at Rajkot, Feb 15 2024, England tour of India"
Ollie Pope ,3,14,14,0,0,21.42,England 2nd Innings,"India vs England, 3rd Test at Rajkot, Feb 15 2024, England tour of India"
